-43;2020-01-20 00:16:29.109821;
-36;2020-01-20 00:16:34.317679;
-39;2020-01-20 00:16:39.240929;
-36;2020-01-20 00:16:44.268756;
-37;2020-01-20 00:16:49.289975;
-36;2020-01-20 00:16:54.317520;
-38;2020-01-20 00:16:59.352157;
-36;2020-01-20 00:17:03.366882;
-39;2020-01-20 00:17:08.390473;
-36;2020-01-20 00:17:13.407480;
-40;2020-01-20 00:17:18.427452;
-38;2020-01-20 00:17:23.453085;
-36;2020-01-20 00:17:28.492907;
-38;2020-01-20 00:17:33.513179;
-46;2020-01-20 00:20:21.860091;
-42;2020-01-20 00:20:27.071204;
-41;2020-01-20 00:20:32.001755;
-42;2020-01-20 00:20:37.019761;
-41;2020-01-20 00:20:42.041398;
-41;2020-01-20 00:20:47.057654;
-41;2020-01-20 00:20:52.081307;
-41;2020-01-20 00:20:57.096438;
-41;2020-01-20 00:21:02.117496;
